How many electron domains are there surrounding an atom that has a linear electron geometry?,2,3,4,5,6
How many electron domains are there surrounding an atom that has a trigonal planar electron geometry?,3,4,5,6,2
How many electron domains are there surrounding an atom that has a tetrahedral electron geometry?,4,5,6,2,3
How many electron domains are there surrounding an atom that has a trigonal bipyramidal electron geometry?,5,6,2,3,4
How many electron domains are there surrounding an atom that has a octahedral electron geometry?,6,2,3,4,5
What is the name of the electron geoemetry that has two electron domains around an atom?,linear,trigonal planar,tetrahedral,trigonal bipyramidal,octahedral
What is the name of the electron geoemetry that has three electron domains around an atom?,trigonal planar,tetrahedral,trigonal bipyramidal,octahedral,linear
What is the name of the electron geoemetry that has four electron domains around an atom?,tetrahedral,trigonal bipyramidal,octahedral,linear,trigonal planar
What is the name of the electron geoemetry that has five electron domains around an atom?,trigonal bipyramidal,octahedral,linear,trigonal planar,tetrahedral
What is the name of the electron geoemetry that has six electron domains around an atom?,octahedral,linear,trigonal planar,tetrahedral,trigonal bipyramidal
BH<sub>3</sub> has a ___ electron geometry and a ___ molecular geometry.,trigonal planar; trigonal planar,trigonal planar; bent,tetrahedral; trigonal pyramidal,tetrahedral; bent,trigonal planar; T-shaped
BF<sub>3</sub> has a ___ electron geometry and a ___ molecular geometry.,trigonal planar; trigonal planar,trigonal planar; bent,tetrahedral; trigonal pyramidal,tetrahedral; bent,trigonal planar; T-shaped
BCl<sub>3</sub> has a ___ electron geometry and a ___ molecular geometry.,trigonal planar; trigonal planar,trigonal planar; bent,tetrahedral; trigonal pyramidal,tetrahedral; bent,trigonal planar; T-shaped
CH<sub>4</sub> has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; tetrahedral,tetrahedral; trigonal pyramidal,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral
CF<sub>4</sub> has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; tetrahedral,tetrahedral; trigonal pyramidal,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral
CCl<sub>4</sub> has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; tetrahedral,tetrahedral; trigonal pyramidal,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral
CH<sub>3</sub>Cl has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; tetrahedral,tetrahedral; trigonal pyramidal,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral
NH<sub>3</sub> has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; trigonal pyramidal,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral,tetrahedral; tetrahedral
H<sub>2</sub>O has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral,tetrahedral; tetrahedral,tetrahedral; trigonal pyramidal
OCl<sub>2</sub> has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral,tetrahedral; tetrahedral,
OF<sub>2</sub> has a ___ electron geometry and a ___ molecular geometry.,tetrahedral; bent,tetrahedral; trigonal planar,trigonal pyramidal; tetrahedral,tetrahedral; tetrahedral,
CO<sub>2</sub> has a ___ electron geometry and a ___ molecular geometry.,linear; linear,trigonal planar; bent,tetrahedral; bent,square planar; bent,trigonal bipyramidal; linear
HCN has a ___ electron geometry and a ___ molecular geometry.,linear; linear,trigonal planar; bent,tetrahedral; bent,square planar; bent,trigonal bipyramidal; linear
SF<sub>2</sub> has a ___ electron geometry.,tetrahedral,trigonal bipyramidal,octahedral,trigonal planar,linear
SF<sub>2</sub> has a ___ molecular geometry.,bent,see-saw,T-shaped,square planar,trigonal planar
SF<sub>4</sub> has a ___ electron geometry.,trigonal bipyramidal,octahedral,trigonal planar,linear,tetrahedral
SF<sub>4</sub> has a ___ molecular geometry.,see-saw,T-shaped,square planar,trigonal planar,bent
SF<sub>6</sub> has a ___ electron geometry.,octahedral,trigonal planar,linear,tetrahedral,trigonal bipyramidal
SF<sub>6</sub> has a ___ molecular geometry.,octahedral,T-shaped,square planar,trigonal planar,bent
PCl<sub>5</sub> has a ___ molecular geometry.,trigonal bipyramidal,octahedral,linear,trigonal planar,tetrahedral
PCl<sub>5</sub> has a ___ electron geometry.,trigonal bipyramidal,octahedral,linear,trigonal planar,tetrahedral
IF<sub>3</sub> has a ___ electron geometry.,trigonal bipyramidal,octahedral,linear,trigonal planar,tetrahedral
IF<sub>3</sub> has a ___ molecular geometry.,T-shaped,see-saw,trigonal pyramidal,tetrahedral,bent
ICl<sub>3</sub> has a ___ electron geometry.,trigonal bipyramidal,octahedral,linear,trigonal planar,tetrahedral
ICl<sub>3</sub> has a ___ molecular geometry.,T-shaped,see-saw,trigonal pyramidal,tetrahedral,bent
IF<sub>5</sub> has a ___ electron geometry.,octahedral,trigonal bipyramidal,tetrahedral,trigonal planar,linear
IF<sub>5</sub> has a ___ molecular geometry.,square pyramidal,trigonal pyramidal,trigonal bipyramidal,bent,square planar
ICl<sub>5</sub> has a ___ electron geometry.,octahedral,trigonal bipyramidal,tetrahedral,trigonal planar,linear
ICl<sub>5</sub> has a ___ molecular geometry.,square pyramidal,trigonal pyramidal,trigonal bipyramidal,bent,square planar
XeF<sub>4</sub> has a ___ electron geometry.,octahedral,trigonal bipyramidal,tetrahedral,trigonal planar,linear
XeF<sub>4</sub> has a ___ molecular geometry.,square planar,square pyramidal,trigonal pyramidal,trigonal bipyramidal,bent
IF<sub>4</sub><sup>-</sup> has a ___ electron geometry.,octahedral,trigonal bipyramidal,tetrahedral,trigonal planar,linear
IF<sub>4</sub><sup>-</sup> has a ___ molecular geometry.,square planar,square pyramidal,trigonal pyramidal,trigonal bipyramidal,bent
I<sub>3</sub><sup>-</sup> has a ___ electron geometry.,trigonal bipyramidal,octahedral,linear,tetrahedral,trigonal planar
I<sub>3</sub><sup>-</sup> has a ___ molecular geometry.,linear,bent,square planar,T-shaped,tetrahedral
XeF<sub>2</sub> has a ___ electron geometry.,trigonal bipyramidal,octahedral,linear,tetrahedral,trigonal planar
XeF<sub>2</sub> has a ___ molecular geometry.,linear,bent,square planar,T-shaped,tetrahedral
The orbital hybridization that corresponds to two electron domains is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The orbital hybridization that corresponds to three electron domains is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The orbital hybridization that corresponds to four electron domains is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
The orbital hybridization that corresponds to five electron domains is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The orbital hybridization that corresponds to six electron domains is ___.,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d
sp orbital hybridiation corresponds to ___ electron domains.,2,3,4,5,6
sp<sup>2</sup> orbital hybridiation corresponds to ___ electron domains.,3,4,5,6,2
sp<sup>3</sup> orbital hybridiation corresponds to ___ electron domains.,4,5,6,2,3
sp<sup>3</sup>d orbital hybridiation corresponds to ___ electron domains.,5,6,2,3,4
sp<sup>3</sup>d<sup>2</sup> orbital hybridiation corresponds to ___ electron domains.,6,2,3,4,5
sp orbital hybridiation corresponds to bond angles of ___.,180<sup>o</sup>,120<sup>o</sup>,109.5<sup>o</sup>,120<sup>o</sup> and 90<sup>o</sup>,90<sup>o</sup>
sp<sup>2</sup> orbital hybridiation corresponds to bond angles of ___.,120<sup>o</sup>,109.5<sup>o</sup>,120<sup>o</sup> and 90<sup>o</sup>,90<sup>o</sup>,180<sup>o</sup>
sp<sup>3</sup> orbital hybridiation corresponds to bond angles of ___.,109.5<sup>o</sup>,120<sup>o</sup> and 90<sup>o</sup>,90<sup>o</sup>,180<sup>o</sup>,120<sup>o</sup>
sp<sup>3</sup>d orbital hybridiation corresponds to bond angles of ___.,120<sup>o</sup> and 90<sup>o</sup>,90<sup>o</sup>,180<sup>o</sup>,120<sup>o</sup>,109.5<sup>o</sup>
sp<sup>3</sup>d<sup>2</sup> orbital hybridiation corresponds to bond angles of ___.,90<sup>o</sup>,180<sup>o</sup>,120<sup>o</sup>,109.5<sup>o</sup>,120<sup>o</sup> and 90<sup>o</sup>
The hybridization on the Be atom in BeH<sub>2</sub> is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The hybridization on the Be atom in BeF<sub>2</sub> is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The hybridization on the Be atom in BeCl<sub>2</sub> is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The hybridization on the B atom in BH<sub>3</sub> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the B atom in BF<sub>3</sub> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the B atom in BCl<sub>3</sub> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the C atom in CH<sub>4</sub> is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
The hybridization on the C atom in CF<sub>4</sub> is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
The hybridization on the N atom in NH<sub>3</sub> is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
The hybridization on the O atom in H<sub>2</sub>O is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
The hybridization on the C atom in CO<sub>2</sub> is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The hybridization on the C atom in HCN is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The hybridization on the C atom in CS<sub>2</sub> is ___.,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>
The hybridization on the C atom in CO<sub>3</sub><sup>2-</sup> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the N atom in NO<sub>3</sub><sup>-</sup> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the S atom in SO<sub>2</sub> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the C atom in H<sub>2</sub>CO (formaldehyde) is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the central O atom in O<sub>3</sub> is ___.,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp
The hybridization on the P atom in PCl<sub>5</sub> is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The hybridization on the P atom in PF<sub>5</sub> is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The hybridization on the S atom in SF<sub>4</sub> is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The hybridization on the I atom in IF<sub>3</sub> is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The hybridization on the Xe atom in XeF<sub>2</sub> is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The hybridization on the central I atom in I<sub>3</sub><sup>-</sup> is ___.,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>
The hybridization on the S atom in SF<sub>6</sub> is ___.,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d
The hybridization on the I atom in IF<sub>5</sub> is ___.,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d
The hybridization on the Xe atom in Xe<sub>4</sub> is ___.,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>,sp<sup>3</sup>,sp<sup>3</sup>d
The hybridization on the O atom in HOF is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
The hybridization on the S atom in SF<sub>2</sub> is ___.,sp<sup>3</sup>,sp<sup>3</sup>d,sp<sup>3</sup>d<sup>2</sup>,sp,sp<sup>2</sup>
How many of the following are polar?<p><pre>H<sub>2</sub>O    SF<sub>2</sub>    NH<sub>3</sub>    H<sub>2</sub>CO</pre>,4,3,2,1,0
How many of the following are polar?<p><pre>PF<sub>5</sub>    SF<sub>2</sub>    NH<sub>3</sub>    H<sub>2</sub>CO</pre>,3,2,1,0,4
How many of the following are polar?<p><pre>H<sub>2</sub>O    PCl</sub>5</sub>    NH<sub>3</sub>    H<sub>2</sub>CO</pre>,3,2,1,0,4
How many of the following are polar?<p><pre>PCl<sub>5</sub>    SF<sub>2</sub>    NH<sub>3</sub>    H<sub>2</sub>CO</pre>,3,2,1,0,4
How many of the following are polar?<p><pre>PCl<sub>5</sub>   CO<sub>2</sub>    NH<sub>3</sub>    H<sub>2</sub>CO</pre>,2,1,0,4,3
How many of the following are polar?<p><pre>PCl<sub>5</sub>    SF<sub>2</sub>    CO<sub>2</sub>    H<sub>2</sub>CO</pre>,2,1,0,4,3
How many of the following are polar?<p><pre>PCl<sub>5</sub>    SF<sub>2</sub>    NH<sub>3</sub>    CO<sub>2</sub></pre>,2,1,0,4,3
How many of the following are polar?<p><pre>PCl<sub>5</sub>   CO<sub>2</sub>    HCN    H<sub>2</sub>CO</pre>,2,1,0,4,3
How many of the following are polar?<p><pre>PCl<sub>5</sub>    HCN    CO<sub>2</sub>    H<sub>2</sub>CO</pre>,2,1,0,4,3
How many of the following are polar?<p><pre>HCN    SF<sub>2</sub>    NH<sub>3</sub>    CO<sub>2</sub></pre>,3,2,1,0,4
How many of the following are polar?<p><pre>HCN    SF<sub>4</sub>    NH<sub>3</sub>    CO<sub>2</sub></pre>,3,2,1,0,4
How many of the following are polar?<p><pre>HCN    SF<sub>6</sub>    NH<sub>3</sub>    CO<sub>2</sub></pre>,2,1,0,4,2
How many of the following are polar?<p><pre>HCN    SF<sub>2</sub>    BH<sub>3</sub>    CO<sub>2</sub></pre>,2,1,0,4,3
How many of the following are polar?<p><pre>IF<sub>3</sub>    SF<sub>2</sub>    BH<sub>3</sub>    CO<sub>2</sub></pre>,2,1,0,4,3
How many of the following are polar?<p><pre>XeF<sub>4</sub>    SF<sub>2</sub>    BH<sub>3</sub>    CO<sub>2</sub></pre>,1,0,4,3,2
How many of the following are polar?<p><pre>HCN    SF<sub>2</sub>    BH<sub>3</sub>    AsF<sub>3</sub></pre>,3,2,1,0,4
How many of the following are polar?<p><pre>HCN    SF<sub>6</sub>    PH<sub>3</sub>    SeF<sub>2</sub></pre>,3,2,1,0,4
How many of the following are polar?<p><pre>CO<sub>2</sub>    SF<sub>6</sub>    PH<sub>3</sub>    SeF<sub>2</sub></pre>,2,1,0,4,3
How many of the following are polar?<p><pre>HCN    CO<sub>2</sub>    PH<sub>3</sub>    SeF<sub>2</sub></pre>,3,2,1,0,4
How many of the following are polar?<p><pre>HCN    SF<sub>6</sub>    CO<sub>2</sub>    SeF<sub>2</sub></pre>,2,1,0,4,3
How many of the following are polar?<p><pre>HCN    SF<sub>6</sub>    PH<sub>3</sub>    CO<sub>2</sub></pre>,2,1,0,4,3
How many of the following are polar?<p><pre>SiH<sub>4</sub>    SF<sub>6</sub>    PH<sub>3</sub>    CO<sub>2</sub></pre>,1,0,4,3,2
